127.0.0.1 - - [11/Oct/2022:14:57:40 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Oct/2022:14:57:41 +0900] "GET /practice01/ HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [11/Oct/2022:14:57:41 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:00:52 +0900] "GET /practice01/ HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:09:11 +0900] "GET /practice01/ HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:09:46 +0900] "GET /practice01/ HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:26:16 +0900] "GET /practice01/ HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:26:27 +0900] "GET /practice01/test01.jsp?id=kkt&pw=1234&name=%EA%B9%80%EA%B8%B0%ED%83%9C HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:29:03 +0900] "GET /practice01/test01.jsp?id=kkt&pw=1234&name=%EA%B9%80%EA%B8%B0%ED%83%9C HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:31:34 +0900] "GET /practice01/test01.jsp?id=kkt&pw=1234&name=%EA%B9%80%EA%B8%B0%ED%83%9C HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:44:33 +0900] "GET /practice01/ HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:44:35 +0900] "GET /practice01/test01.jsp?id=kkt&pw=1234&name=%EA%B9%80%EA%B8%B0%ED%83%9C HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:44:35 +0900] "GET /practice01/index.jsp?msg=id%20:%20kkt,%20pw%20:%201234,%20name%20:%20??? HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:44:37 +0900] "GET /practice01/test01.jsp?id=kkt&pw=1234&name=%EA%B9%80%EA%B8%B0%ED%83%9C HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:44:37 +0900] "GET /practice01/index.jsp?msg=id%20:%20kkt,%20pw%20:%201234,%20name%20:%20??? HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:44:44 +0900] "GET /practice01/test01.jsp?id=kkt&pw=1234&name=%EA%B9%80%EA%B8%B0%ED%83%9C HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:44:44 +0900] "GET /practice01/index.jsp?msg=id%20:%20kkt,%20pw%20:%201234,%20name%20:%20??? HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:49:11 +0900] "GET /practice01/ HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:49:25 +0900] "POST /practice01/test02.jsp HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:50:25 +0900] "GET /practice01/ HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:50:34 +0900] "POST /practice01/test02.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:54:17 +0900] "GET /practice01/ HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:56:06 +0900] "GET /practice01/ HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:56:15 +0900] "POST /practice01/test02.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:56:34 +0900] "POST /practice01/test02.jsp HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [11/Oct/2022:15:56:45 +0900] "GET /practice01/index.jsp?msg=id%20:%20kkt,%20pw%20:%201234,%20name%20:%20%EA%B9%80%EA%B8%B0%ED%83%9C HTTP/1.1" 200 1074
